title,genre,description,director,cast,keywords,imdb_rating,ott_platform,poster_url,year,language
Inception,Sci-Fi Thriller,"A skilled thief who steals secrets from people's dreams is given a chance at redemption if he can plant an idea into someone's mind. A mind-bending journey through layered realities where time bends and nothing is what it seems.",Christopher Nolan,"Leonardo DiCaprio, Tom Hardy, Ellen Page, Marion Cotillard","dreams, heist, reality, subconscious, thriller, mindbending",8.8,Netflix,https://image.tmdb.org/t/p/w500/qJ2tW6WMUDux911r6m7haRef0WH.jpg,2010,English
The Dark Knight,Action Thriller,"Batman faces his greatest challenge as the Joker wreaks havoc on Gotham City. A gritty exploration of heroism and chaos that redefined superhero cinema with unforgettable performances.",Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine","superhero, crime, dc, batman, villain, chaos",9.0,Netflix,https://image.tmdb.org/t/p/w500/qJ2tW6WMUDux911r6m7haRef0WH.jpg,2008,English
Interstellar,Sci-Fi Drama,"A team of explorers travels through a wormhole in space to ensure humanity's survival. An emotional journey across time and space exploring love, sacrifice, and the mysteries of the universe.",Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Jessica Chastain, Michael Caine","space, wormhole, timetravel, survival, emotional, universe",8.6,Prime Video,https://image.tmdb.org/t/p/w500/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,2014,English
The Shawshank Redemption,Drama,"Two imprisoned men bond over years finding solace and redemption through acts of common decency. A timeless tale of hope, friendship, and the human spirit's resilience against despair.",Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler","prison, hope, friendship, escape, redemption, injustice",9.3,Prime Video,https://image.tmdb.org/t/p/w500/q6y0Go1tsGEsmtFryDOJo3dEmqu.jpg,1994,English
Pulp Fiction,Crime Drama,"The lives of two mob hitmen, a boxer, and a pair of diner bandits intertwine in four tales of violence and redemption. Tarantino's masterpiece of non-linear storytelling and unforgettable dialogue.",Quentin Tarantino,"John Travolta, Samuel L. Jackson, Uma Thurman, Bruce Willis","crime, nonlinear, violence, dialogue, coolness, anthology",8.9,Netflix,https://image.tmdb.org/t/p/w500/d5iIlFn5s0ImszYzBPb8JPIfbXD.jpg,1994,English
The Matrix,Sci-Fi Action,"A hacker discovers reality is a simulation and joins a rebellion against machines. Revolutionary action sequences and philosophical depth create an iconic exploration of reality versus illusion.",Wachowski Sisters,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving","simulation, hacker, ai, reality, action, philosophy",8.7,HBO Max,https://image.tmdb.org/t/p/w500/f89U3ADr1oiB1s9GkdPOEpXUk5H.jpg,1999,English
Forrest Gump,Drama Comedy,"A simple man with a low IQ witnesses and influences several defining moments in American history. An inspiring journey through life showing kindness, perseverance, and destiny.",Robert Zemeckis,"Tom Hanks, Robin Wright, Gary Sinise, Sally Field","inspirational, history, destiny, wholesome, heartwarming, journey",8.8,Prime Video,https://image.tmdb.org/t/p/w500/saHP97rTPS5eLmrLQEcANmKrsFl.jpg,1994,English
Fight Club,Psychological Thriller,"An insomniac office worker forms an underground fight club that evolves into something much more. A dark exploration of masculinity, consumerism, and identity with shocking twists.",David Fincher,"Brad Pitt, Edward Norton, Helena Bonham Carter, Meat Loaf","rebellion, identity, consumerism, twist, underground, anarchy",8.8,Prime Video,https://image.tmdb.org/t/p/w500/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg,1999,English
Goodfellas,Crime Drama,"The story of Henry Hill and his life in the mob spanning three decades. Scorsese's masterful chronicle of organized crime featuring unforgettable characters and stylish direction.",Martin Scorsese,"Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco","mafia, crime, biography, violence, stylish, reallife",8.7,Netflix,https://image.tmdb.org/t/p/w500/aKuFiU82s5ISJpGZp7YkIr3kCUd.jpg,1990,English
The Godfather,Crime Drama,"The aging patriarch of an organized crime dynasty transfers control to his reluctant son. An epic saga of power, family, loyalty, and the American dream's dark underbelly.",Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan, Robert Duvall","mafia, family, power, legacy, classic, iconic",9.2,Prime Video,https://image.tmdb.org/t/p/w500/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,1972,English
Schindler's List,Historical Drama,"In German-occupied Poland, industrialist Oskar Schindler saves over a thousand Jewish lives. A powerful testament to courage and humanity amidst the Holocaust's unimaginable horror.",Steven Spielberg,"Liam Neeson, Ralph Fiennes, Ben Kingsley, Caroline Goodall","holocaust, hero, history, courage, wwii, powerful",9.0,Netflix,https://image.tmdb.org/t/p/w500/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg,1993,English
The Lord of the Rings: The Return of the King,Fantasy Adventure,"Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo. Epic conclusion featuring breathtaking battles and emotional farewells.",Peter Jackson,"Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom","fantasy, epic, adventure, quest, magic, trilogy",9.0,HBO Max,https://image.tmdb.org/t/p/w500/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg,2003,English
The Silence of the Lambs,Psychological Thriller,"A young FBI cadet seeks help from an imprisoned cannibal to catch another serial killer. Chilling performances and psychological depth create unforgettable tension.",Jonathan Demme,"Jodie Foster, Anthony Hopkins, Scott Glenn, Ted Levine","serialkiller, fbi, psychological, thriller, suspense, creepy",8.6,Netflix,https://image.tmdb.org/t/p/w500/uS9m8OBk1A8eM9I042bx8XXpqAq.jpg,1991,English
Saving Private Ryan,War Drama,"Following the D-Day invasion, a group of soldiers searches for a paratrooper whose brothers have been killed. Visceral combat sequences and deep examination of sacrifice.",Steven Spielberg,"Tom Hanks, Matt Damon, Tom Sizemore, Edward Burns","wwii, war, brotherhood, sacrifice, realistic, emotional",8.6,Prime Video,https://image.tmdb.org/t/p/w500/uqx37cS8cpHg8U35f9U5IBlrCV3.jpg,1998,English
Gladiator,Historical Action,"A former Roman General seeks revenge against the corrupt emperor who murdered his family. Spectacular arena battles and powerful storytelling of honor and vengeance.",Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed","rome, revenge, gladiator, honor, action, epic",8.5,Netflix,https://image.tmdb.org/t/p/w500/ehGIDAMoqBqJzNkDxF5MAlb80OC.jpg,2000,English
